단어,음소 개수,평균 편집거리,짧은 편집거리 20개 평균,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,가,가감,가객,가건물,가게,가겟집,가격,가격표,가결하다,가계,가계부,가계비,가계약,가곡,가공,가공되다,가공품,가공하다,가관,가교,가구,가구주,가극,가까스로,가까이,가까이하다,가깝다,대하다,가끔,가난,가난뱅이,가난하다,가내,가냘프다,가녀리다,위하다,가느다랗다,가늘다,가늠,가늠하다,가능,가능하다,가다,가다듬다,가닥,가담,가담자,가담하다,가당하다,말하다,가도,가동,가동되다,가동률,가동시키다,가동하다,가두,보이다,가드
가,2,4.677966101694915,2.55,가두 2,가다 2,가도 2,가내 2,가게 2,가구 2,가계 2,가교 2,가드 2,가극 3,가관 3,가객 3,가늠 3,가격 3,가난 3,가닥 3,가능 3,가곡 3,가공 3,가감 3,0,3,3,6,2,6,3,5,7,2,4,4,5,3,3,7,6,7,3,2,2,4,3,6,4,8,5,5,3,3,8,7,2,7,6,5,9,5,3,7,3,7,2,7,3,3,5,7,7,6,2,3,7,6,9,7,2,5,2
가감,5,4.254237288135593,2.15,가담 1,가난 2,가끔 2,가닥 2,가극 2,가계 2,가다 2,가늠 2,가격 2,가곡 2,가공 2,가객 2,가게 2,가구 2,가관 2,가교 2,가동 3,가두 3,가 3,가드 3,3,0,2,5,2,5,2,4,6,2,4,4,5,2,2,6,5,6,2,2,2,4,2,6,4,8,4,5,2,2,7,6,3,7,6,5,8,5,2,6,3,7,2,6,2,1,3,5,6,6,3,3,7,6,9,7,3,6,3
가객,5,4.559322033898305,2.25,가격 1,가곡 1,가극 1,가닥 2,가게 2,가계 2,가내 2,가공 2,가감 2,가구 2,가관 2,가교 2,가두 3,가난 3,가다 3,가늠 3,가 3,가격표 3,가끔 3,가드 3,3,2,0,5,2,5,1,3,6,2,4,4,4,1,2,6,5,6,2,2,2,4,1,7,5,9,5,6,3,3,7,7,2,7,7,6,9,5,3,7,3,7,3,7,2,3,5,7,7,7,3,3,7,6,9,7,3,7,3
가건물,8,6.237288135593221,4.8,가구주 4,가공품 4,가계부 4,가관 4,가동률 5,가구 5,가격 5,가감 5,가난 5,가계약 5,가객 5,가게 5,가계 5,가극 5,가계비 5,가곡 5,가공 5,가격표 5,가교 5,가두 5,6,5,5,0,5,5,5,5,7,5,4,5,5,5,5,7,4,7,4,5,5,4,5,8,6,10,6,8,6,5,7,7,6,8,8,8,10,6,6,8,6,8,6,8,6,6,6,8,8,8,6,6,8,5,10,8,5,8,6
가게,4,4.322033898305085,2.05,가구 1,가계 1,가교 1,가다 2,가 2,가내 2,가극 2,가관 2,가도 2,가두 2,가격 2,가곡 2,가공 2,가객 2,가감 2,가드 2,가구주 3,가동 3,가늠 3,가계비 3,2,2,2,5,0,4,2,4,6,1,3,3,4,2,2,6,5,6,2,1,1,3,2,6,4,8,5,5,3,3,8,7,2,7,6,5,9,5,3,7,3,7,2,7,3,3,5,7,7,6,2,3,7,6,9,7,2,6,2
가겟집,8,6.254237288135593,4.85,가계비 4,가구주 4,가게 4,가계부 5,가구 5,가격 5,가감 5,가까이 5,가계약 5,가객 5,가공품 5,가계 5,가극 5,가곡 5,가공 5,가격표 5,가건물 5,가관 5,가교 5,가담자 5,6,5,5,5,4,0,5,5,7,5,5,4,5,5,5,7,5,7,5,5,5,4,5,8,5,9,6,8,6,6,8,8,6,8,7,8,10,6,6,8,6,8,6,8,6,6,5,8,8,8,6,6,8,6,9,8,6,8,6
가격,5,4.5423728813559325,2.25,가객 1,가곡 1,가극 1,가닥 2,가공 2,가게 2,가계 2,가격표 2,가감 2,가구 2,가관 2,가교 2,가두 3,가 3,가다 3,가늠 3,가난 3,가끔 3,가내 3,가드 3,3,2,1,5,2,5,0,2,5,2,4,4,4,1,2,6,5,6,2,2,2,4,1,7,5,9,5,6,3,3,8,7,3,7,6,6,9,5,3,7,3,7,3,7,2,3,5,7,7,7,3,3,7,6,9,7,3,7,3
가격표,7,5.338983050847458,3.95,가격 2,가객 3,가곡 3,가극 3,가구 4,가게 4,가닥 4,가공품 4,가계 4,가계부 4,가계비 4,가공 4,가감 4,가관 4,가교 4,가구주 4,가두 5,가드 5,가계약 5,가겟집 5,5,4,3,5,4,5,2,0,5,4,4,4,5,3,4,6,4,6,4,4,4,4,3,7,5,9,5,7,5,5,8,7,5,6,6,7,9,5,5,7,5,7,5,7,4,5,5,7,7,7,5,5,7,6,9,7,5,7,5
가결하다,9,5.5423728813559325,4.0,가공하다 2,가능하다 3,가담하다 3,가당하다 3,가늠하다 3,가난하다 3,가동하다 3,가늘다 4,말하다 4,가냘프다 4,가녀리다 4,가공되다 4,가동되다 5,위하다 5,가격 5,가격표 5,가다 5,가깝다 5,가까이하다 5,대하다 5,7,6,6,7,6,7,5,5,0,6,6,6,7,6,6,4,7,2,6,6,6,6,6,7,6,5,5,5,7,7,8,3,7,4,4,5,7,4,7,3,7,3,5,6,6,6,6,3,3,4,6,7,5,8,7,3,6,7,6
가계,4,4.288135593220339,1.95,가게 1,가구 1,가교 1,가내 2,가계부 2,가도 2,가두 2,가공 2,가극 2,가 2,가다 2,가계비 2,가객 2,가곡 2,가격 2,가감 2,가관 2,가드 2,가끔 3,가계약 3,2,2,2,5,1,5,2,4,6,0,2,2,3,2,2,6,5,6,2,1,1,3,2,6,4,8,5,5,3,3,8,7,2,7,6,5,9,5,3,7,3,7,2,7,3,3,5,7,7,6,2,3,7,6,9,7,2,6,2
