,stim_id,Lexicality,Stimuli,Romanized.Stim,POS,NofMeaning,LenSyll,Freq
1,10001,1,가,ka,n,15,1,1161
2,10002,1,가감,kakam,n,1,2,25
3,10003,1,가객,kakaik,n,3,2,26
4,10004,1,가건물,kakenmoul,n,1,3,33
5,10005,1,가게,kakei,n,1,2,1798
6,10006,1,가겟집,kakeiscip,n,1,3,19
7,10007,1,가격,kakyek,n,3,2,2810
8,10008,1,가격표,kakyekphyo,n,1,3,17
9,10009,1,가결하다,kakyelhata,v,1,4,16
10,10010,1,가계,kakyei,n,3,2,439
11,10011,1,가계부,kakyeipou,n,1,3,64
12,10012,1,가계비,kakyeipi,n,1,3,15
13,10013,1,가계약,kakyei‘yak,n,1,3,19
14,10014,1,가곡,kakok,n,1,2,92
15,10015,1,가공,kakong,n,2,2,399
16,10016,1,가공되다,kakongtoita,v,2,4,41
17,10017,1,가공품,kakongphoum,n,1,3,29
18,10018,1,가공하다,kakonghata,v,3,4,134
19,10019,1,가관,kakwan,n,1,2,62
20,10020,1,가교,kakyo,n,3,2,33
21,10021,1,가구,kakou,n,4,2,1410
22,10022,1,가구주,kakoucou,n,1,3,19
23,10023,1,가극,kakuk,n,1,2,27
24,10024,1,가까스로,kagasulo,adv,1,4,329
25,10025,1,가까이,kaga‘i,n,1,3,414
26,10026,1,가까이하다,kaga'ihata,v,1,5,56
27,10027,1,가깝다,kagapta,adj,1,3,3701
6452,16460,1,대하다,taihata,v,2,3,50443
29,10029,1,가끔,kagum,adv,1,2,2078
30,10030,1,가난,kanan,n,1,2,468
31,10031,1,가난뱅이,kananpaing‘i,n,1,4,47
32,10032,1,가난하다,kananhata,adj,1,4,1383
33,10033,1,가내,kanai,n,1,2,37
34,10034,1,가냘프다,kanyalphuta,adj,1,4,116
35,10035,1,가녀리다,kanyelita,adj,1,4,41
19680,29695,1,위하다,wihata,v,1,3,39313
37,10037,1,가느다랗다,kanutalahta,adj,1,5,229
38,10038,1,가늘다,kanulta,adj,1,3,653
39,10039,1,가늠,kanum,n,1,2,16
40,10040,1,가늠하다,kanumhata,v,1,4,283
41,10041,1,가능,kanung,n,1,2,260
42,10042,1,가능하다,kanunghata,adj,1,4,5371
43,10043,1,가다,kata,v,1,2,36105
44,10044,1,가다듬다,katatumta,v,1,4,348
45,10045,1,가닥,katak,n,1,2,386
46,10046,1,가담,katam,n,1,2,36
47,10047,1,가담자,katamca,n,1,3,28
48,10048,1,가담하다,katamhata,v,1,4,215
49,10049,1,가당하다,katanghata,adj,1,4,43
8217,18227,1,말하다,malhata,v,1,3,38756
51,10051,1,가도,kato,n,2,2,54
52,10052,1,가동,katong,n,1,2,165
53,10053,1,가동되다,katongtoita,v,1,4,80
54,10054,1,가동률,katonglyoul,n,1,3,35
55,10055,1,가동시키다,katongsikhita,v,1,5,23
56,10056,1,가동하다,katonghata,v,1,4,117
57,10057,1,가두,katou,n,1,2,383
11261,21274,1,보이다,po‘ita,v,3,3,28937
59,10059,1,가드,katu,n,1,2,23
60,10060,1,가득,katuk,adv,1,2,1833
61,10061,1,가득하다,katukhata,adj,1,4,608
62,10062,1,가득히,katukhi,adv,1,3,150
63,10063,1,가든,katun,n,1,2,31
64,10064,1,가등기,katungki,n,1,3,16
65,10065,1,가뜩이나,kaduk‘ina,adv,1,4,182
